element_id,volume_mm3
1,156002.72424843
2,156000.05690826
3,155997.49782327
4,155997.4955655
5,156000.05517225
6,156002.7266769
7,155999.82694183
8,155997.49996403
9,155998.2144852
10,155999.85662828
11,156001.69767331
12,156001.55275153
13,156000.8794432
14,156000.16178102
15,155999.6619133
16,155999.65820132
17,155999.66300462
18,155999.42477437
19,156000.16264903
20,156000.88360779
21,156000.15773338
22,155999.92464209
23,155999.65837209
24,155999.65837209
25,155999.93463944
26,156000.16641352
27,156000.87956019
28,156000.0201907
29,155999.7953015
30,156000.01148127
31,56800.17789096
32,56799.915072605
33,56799.918957959
34,56800.759786957
35,56799.526083912
36,56799.524230218
37,55380.484547013
38,55379.793729629
39,55380.486354334
40,55379.537479976
41,55379.537028138
42,55380.74169594
43,48575.594305296
44,48576.426997043
45,48575.815901475
46,55380.17254002
47,55379.91719579
48,55379.822490921
49,48576.149756432
50,48575.927369135
51,48575.927369135
52,55379.917647625
53,55380.173443686
54,55379.912677446
55,48575.927369135
56,48576.152134353
57,48575.927369135
58,48576.006476401
59,48575.927369135
60,48576.152134353
61,48575.929030534
62,48575.927369135
63,48576.148171153
